Formulário de avaliação de aplicações de análise de vulnerabilidade,,,,,,,,,,,
1ª PESQUISA: /code scanning AND vulnerability code scan,,,114,,,,,,,,
SEQ,NOME,URL,LINGUAGEM,FORKS,WATCHING,ESTRELAS,LICENÇA,PUBLICAÇÃO,ALTERAÇÃO,BANCO DE DADOS,RESUMO
1,advanced-security/codeql_container_example,https://github.com/advanced-security/codeql_container_example,Typescript,0,5,0,MIT License,2023,2023,N/A,"É uma demonstração de uma implementação de como usar CodeQL para escanear aplicações coneinerizadas por vulnerabilidades, usando 4 exemplos: javascript, Java, C# e Docker"
2,advancedcsg-open/action-ccq,https://github.com/advancedcsg-open/action-ccq,Dockerfile,0,5,0,N/A,2019,2019,N/A,É uma ferramenta que usa Github Action para escanear código com o SonarQube
3,agrawalsmart7/scodescanner,https://github.com/agrawalsmart7/scodescanner,Python,20,7,155,GPL-3.0 License,2021,2023,N/A,É uma ferramenta CLI para escanear código fonte por vulnerabilidades críticas
4,akbarq/codescan,https://github.com/akbarq/codescan,Python,0,1,0,N/A,2023,2023,N/A,"É uma ferramenta qie detecta funções vulneráveis em arquivos PHP, Java, Python, .Net e Javascript "
5,andrenasx/J-TAS,https://github.com/andrenasx/J-TAS,Python,0,1,1,N/A,2023,2023,CWE,"É uma Github Actions que automatiza o escaneamento de código Java, identificando as vulnerabilidades de CWE presentes"
6,Anof-cyber/MobSecco,https://github.com/brunocantisano/rpi-sonarqube,Python,6,4,51,MIT License,2023,2023,N/A,"É uma ferramenta usada para clonar projetos de dispositivos móveis baseados em Cordova, gerando um APK para debug."
7,arush-sal/securebuild,https://github.com/arush-sal/securebuild,N/A,-,-,-,-,-,-,-,Repositório vazio na data da verificação
8,atulds1994/WebInspect-Scan-Merge-Code-in-Python,https://github.com/atulds1994/WebInspect-Scan-Merge-Code-in-Python,Python,0,1,0,N/A,2020,2020,N/A,É um código para mesclar 2 ou mais ecanementos complemtos usando uma ferramenta de inspeção WEb.
9,Auxin-io/AlphaScale-CLI,https://github.com/Auxin-io/AlphaScale-CLI,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
10,AviBuckman/Vulnerability-Checker,https://github.com/AviBuckman/Vulnerability-Checker,Python,0,4,0,BSD-3-Clause License,2020,2020,N/A,É um verificador de vulnerabilidades em python que escaneia os pacotes intalados em máquinas Linux e cria um banco de dados contendo metadados sobre os pacote
11,beacon/code-uv,https://github.com/beacon/code-uv,N/A,-,-,-,-,-,-,-,Repositório possui o Readme e o arquivo gitignore na data da pesquisa
12,Bearer/bearer,https://github.com/Bearer/bearer,Go,59,17,1400,Elastic License 2.0,2022,2023,OWASP e CWE,"Bearer CLI é uma uma ferrament de aplicação de teste de segurança estático (SAST) que escaneia o código fonte e analise o fluxo de dados para descobrir, filtrar e priorizar os riscos de privacidade e segurança"
13,bfarhad/cloudsploit-ec2-terraform,https://github.com/bfarhad/cloudsploit-ec2-terraform,HCL,0,3,1,MIT License,2019,2020,N/A,É uma exemplo de POC para prover uma instância EC2 com NodJs e Clausploit instalados para escanear uma conta de nuvem por vulnerabilidades
14,boloto1979/Code-Sentinel,https://github.com/boloto1979/Code-Sentinel,Python,0,1,5,MIT License,2023,2023,N/A,É uma ferramenta para identificação de padrões de vulnerabilidades em code fonte
15,bookworm52/EthicalHackingFromScratch,https://github.com/bookworm52/EthicalHackingFromScratch,N/A,-,-,-,-,-,-,-,"Repositório possui apenas o arquivo EthicalHacking,md na data da pesquisa, sem maiores detalhes"
16,bridgecrewio/bridgecrew-action,https://github.com/bridgecrewio/bridgecrew-action,N/A,34,16,71,MIT License,2020,2023,N/A,"É um Github Action que executa verificação Bridgecrew em IaC para identificar configurações incorretas, vulnerabilidades e problemas de conformidade em código, imagens de conteineres e configuraçẽos CI/CD -DEPRECADO - VER CHECKOV"
17,bridgecrewio/checkov-action,https://github.com/bridgecrewio/checkov-action,HCL,86,26,174,Apache-2.0 License,2020,2023,N/A,"É um Github Action que executa verificação Checkov em IaC para identificar configurações incorretas, vulnerabilidades e problemas de conformidade em código, imagens de conteineres e configuraçẽos CI/CD. "
18,brunocantisano/rpi-sonarqube,https://github.com/brunocantisano/rpi-sonarqube,Dockerfile,8,2,18,MIT License,2017,2022,N/A,É um Container docker que implementa um servidor Sonarqube para Raspberry Pi
19,chandinidas/Thunder-Scan-Security-Analysis-Services-In-India,https://github.com/chandinidas/Thunder-Scan-Security-Analysis-Services-In-India,N/A,-,-,-,-,-,-,-,Repositório vazio na data da pesquisa
20,Checkmarx/ast-eclipse-plugin,https://github.com/Checkmarx/ast-eclipse-plugin,Java,4,6,2,Apache-2.0 License,2021,2023,N/A,"É um plugin para o Eclipse do CheckMarx One, que habilita para buscar os resultados do escaneamento de vulnerabilitdades do Checkmarx One diretamente na IDE do Eclipse"
21,Checkmarx/ast-vscode-extension,https://github.com/Checkmarx/ast-vscode-extension,Hack,6,5,10,Apache-2.0 License,2021,2023,N/A,"É uma extensão para o VS Code do CheckMarx One, que habilita para buscar os resultados do escaneamento de vulnerabilitdades do Checkmarx One"
22,Code-dot-mil/crossfeed-agent,https://github.com/Code-dot-mil/crossfeed-agent,Go,4,2,8,MIT License,2019,2020,N/A,É uma ferramenta de monitoramento e verificação de vulnerabilidades para ativos
23,Code-dot-mil/crossfeed-web,https://github.com/Code-dot-mil/crossfeed-web,Javascript,6,5,12,MIT License,2019,2020,N/A,É uma ferramenta de monitoramento e verificação de vulnerabilidades para ativos
24,cons3rt/test-asset-fortify-simple,https://github.com/cons3rt/test-asset-fortify-simple,Shell Script,1,5,4,Bring your Own License,2016,2016,N/A,Eé uma ferramenta que pode ser usada para escanear o código fonte para más práticas e vulnerabilidades
25,cons3rt/test-asset-sonar-simple,https://github.com/cons3rt/test-asset-sonar-simple,Shell Script,0,7,0,N/A,2019,2019,N/A,"É um script simples do Sonar para uso no CONS3RT, para escanear código por práticas ruins e vulnerabilidades"
26,CptAlessio/sentinelscan,https://github.com/CptAlessio/sentinelscan,Python,0,1,0,N/A,2023,2023,N/A,É uma ferramenta de escaneamenteo de vulnerabilidades de código C# e .Net em qualquer repositório do Github
27,cyberflakeconnect/wascan,https://github.com/cyberflakeconnect/wascan,Python,12,2,20,GPL-3.0 License,2018,2020,N/A,É uma ferramnta de escaneamento de vulnerabilidades em aplicações web
28,dinorows/scansafe,https://github.com/dinorows/scansafe,Javascript,0,2,0,N/A,2017,2017,N/A,Escaneia pacotes de código fonte para potencias vulnerabilidades Javascript embutidas em arquivos Gulp como string ou expressões regulares;
29,Don-No7/Hack-SQL,https://github.com/Don-No7/Hack-SQL,N/A,7,3,28,N/A,2021,2021,N/A,É um script para criar e popular tabelas no BD mysql
30,DonRichards/CPS,https://github.com/DonRichards/CPS,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
31,DramstiHe/PyStrike,https://github.com/DramstiHe/PyStrike,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
32,driftingruby/062-security-and-static-code-analyzers,https://github.com/driftingruby/062-security-and-static-code-analyzers,Ruby,1,2,1,N/A,2016,2018,N/A,É uma ferramenta (Drifting Ruby) para escaneamento de segurança de código Ruby
33,Eldritch-HPL/Port-Scanner,https://github.com/Eldritch-HPL/Port-Scanner,Python,1,1,0,N/A,2022,2022,N/A,É um escaneador de porta para vulnerabilidades de segurança
34,eon01/NodeSS,https://github.com/eon01/NodeSS,N/A,1,4,22,MIT License,2016,2016,N/A,É uma ferramenta de escaneamento de código Nodejs para dependências e vulnerabilidades
35,erandakodagoda-ledd/terragoat,https://github.com/erandakodagoda-ledd/terragoat,HCL,0,0,1,Apache-2.0 License,2022,2022,N/A,È uma implmentação de escaneamento de vulnerabilidade Snyk de código em repositórios Terraform para Terra Goat 
36,Err0r-ICA/Nojle,https://github.com/Err0r-ICA/Nojle,Python,8,1,32,MIT License,2020,2020,N/A,É uma feramenta automatizada de pen testing e pesquisa forense
37,expelee-co/Smart-Contract-Audit,https://github.com/expelee-co/Smart-Contract-Audit,N/A,1,3,6,N/A,2022,2023,N/A,É uma ferramenta para revisão de código para equipes que estão se preparando para lançar aplicações Blockchain
38,feramin108/Secure-C,https://github.com/feramin108/Secure-C,C,0,2,0,GPL-3.0 License,2016,2016,N/A,"É coleção de scripts C para profissionais de segurança de rede, incluindo escaneamento de rede, avaliação de vulnerabilidades, análise de pacotes etc"
39,Frikallo/CVEScanner,https://github.com/Frikallo/CVEScanner,N/A,-,-,-,-,-,-,-,Repositório possui o Readme e o arquivo gitignore na data da pesquisa
40,FunnyShadow/BT-Nginx-Scanner,https://github.com/FunnyShadow/BT-Nginx-Scanner,Shell Script,2,1,8,GPL-3.0 License,2022,2022,N/A,É um escaner de execução de varredura de vulnerabilidade de código arbitrário no nginx
41,fvi-att/Kremlin,https://github.com/fvi-att/Kremlin,Python,0,1,0,GPL-3.0 License,2018,2018,N/A,É uma ferramenta de verificação de código e repositório para RedTeam
42,gowtham-tamizharasan/vulnerability-scanner,https://github.com/gowtham-tamizharasan/vulnerability-scanner,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
43,gp47/xef-scan-ex01,https://github.com/gp47/xef-scan-ex01,HCL,0,1,0,MIT License,2023,2023,N/A,É um exemplod e código terrraform 
44,guzmanthetrader/Check-Up,https://github.com/guzmanthetrader/Check-Up,Java,0,1,0,N/A,2023,2023,N/A,"É uma ferramenta para pesquisar websites por XSS, SQL Injections, HTML Injection e porta abertas"
45,Hanzehogeschool-hbo-ict/codescanner,https://github.com/Hanzehogeschool-hbo-ict/codescanner,Typescript,0,2,0,MIT License,2022,2022,N/A,É um plugin do VS Code para escaneamento de bibliotecas
46,hashimal/codepipeline-docker-vulnerability-scan,https://github.com/shashimal/codepipeline-docker-vulnerability-scan,Typescript,1,2,1,N/A,2022,2023,N/A,"É uma projeto para escanear vulnerabilidades em imagens docker usando WS Codepipeline, armazenadas em AWS ECR"
47,hasskod4rking777/test,https://github.com/hasskod4rking777/test,HTML,0,1,0,N/A,2022,2022,N/A,É um validador de escaneamento de vulnerabilidade de código
48,hfh86/CVE-2021-43530-UXSS-On-QRcode-Reader-,https://github.com/hfh86/CVE-2021-43530-UXSS-On-QRcode-Reader-,N/A,1,1,1,N/A,2022,2022,N/A,"É uma ferramenta para verificação da CVE-2021-43530 (XSS) do Firefox, quando proessa URL lida e QRCode"
49,hudacbr/webpwn3r,https://github.com/hudacbr/webpwn3r,Python,10,5,24,GPL-2.0 License,2018,2018,N/A,É uma ferramenta de de escaneament do aplicação web
50,ibenrodriguez/netvmscan,https://github.com/ibenrodriguez/netvmscan,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
51,jackgkafaty/CodeQL_containerizedApp,https://github.com/jackgkafaty/CodeQL_containerizedApp,Typescript,0,1,1,MIT License,2023,2023,N/A,É uma demonstração de uma implementação de como usar CodeQL para escanear aplicações coneinerizadas por vulnerabilidades
52,jasoncabot/devops-demo-code-scanning,https://github.com/jasoncabot/devops-demo-code-scanning,Javascript,1,2,0,MIT License,2020,2021,N/A,Projeto Nodejs para pesquisa de vulnerabilidades usando CodeQL
53,jenkinsci/carbonetes-serverless-container-scanning-and-policy-compliance-plugin,https://github.com/jenkinsci/carbonetes-serverless-container-scanning-and-policy-compliance-plugin,Java,1,2,9,MIT License,2019,2021,N/A,"É uma ferramenta de análilse de vulnerabilidades de imagens de containers e política de conformidade, baseado no Carbonetes (https://carbonetes.com), sendo necessária credenciais para uso da mesma."
54,jenkinsci/redhat-codeready-dependency-analysis-plugin,https://github.com/jenkinsci/redhat-codeready-dependency-analysis-plugin,Java,7,2,0,Apache-2.0 License,2021,2021,N/A,É um plugin para o Jenkins que realziaza análise de dependências e vulnerabilidades
55,Jhanvi12/ReactVul,https://github.com/Jhanvi12/ReactVul,Javascript,0,1,0,N/A,2021,2021,N/A,É um código deliberadamente vulnerável do React a ser verificado pelo Semgrep
56,Kairos-T/Cloud-Security-Source-Codes,https://github.com/Kairos-T/Cloud-Security-Source-Codes,Python,0,3,8,N/A,2023,2023,N/A,É um exemplode código Python para gerenciamento de segurança do AWS Security
57,KamilDogo/IPv4Scanner-POC,https://github.com/KamilDogo/IPv4Scanner-POC,Python,1,1,0,N/A,2023,2023,N/A,É um programa para executa um port scan em todos os endereços de rede IP e automaticamente download um código para uma PoC do código fonte associado com a vulnerabilidade existente
58,kevjin/vulnerability_tool,https://github.com/kevjin/vulnerability_tool,Python,0,2,0,MIT License,2019,2019,N/A,É uma ferrametna de ançaise de vulnerablidade para qualquer repositório de código
59,kishanchaitanya/Security-Vulnerability-Scanner,https://github.com/kishanchaitanya/Security-Vulnerability-Scanner,HTML,6,2,11,N/A,2014,2014,N/A,"É uma ferramenta de busca de vulnerabilidades em sites, infromados por URL"
60,lijiejie/log4j2_vul_local_scanner,https://github.com/lijiejie/log4j2_vul_local_scanner,Python,13,6,86,N/A,2021,2021,CVE-2021-45046,"É uma ferramnta para escanear todos os processos Java executando, se são afetados pelo CVE de vulnerabilidade do loj4j2"
61,lildwagz/CRUTZER,https://github.com/lildwagz/CRUTZER,Perl,1,2,2,N/A,2019,2019,N/A,"É uma ferramenta para busca de vulnerabilidades no Drupal, que pode ser usado para execução remota de código"
62,limfuecoj14/AchillesCheck,https://github.com/limfuecoj14/AchillesCheck,Python,0,1,0,N/A,2020,2020,N/A,É um projeto para checar URLs por vulnerabilidades
63,LINCHENMUM/SQLInject,https://github.com/LINCHENMUM/SQLInject,C#,0,1,0,N/A,2023,2023,N/A,É uma árvore abstrata para escaneamento de código C#
64,linkp2p/WPS-PIN,https://github.com/linkp2p/WPS-PIN,Shell Script,39,10,49,GPL-3.0 License,2012,2012,N/A,É um connjunto de script para verificarção de segurança de rede sem fio (WPS)
