Formulário de avaliação de aplicações de análise de vulnerabilidade,,,,,,,,,,,
2ª PESQUISA: /vulnerability code scan,,,,147,,,,,,,
SEQ,NOME,URL,LINGUAGEM,FORKS,WATCHING,ESTRELAS,LICENÇA,PUBLICAÇÃO,ALTERAÇÃO,BANCO DE DADOS,RESUMO
1,67iendymarm/taklamakan-scanner,https://github.com/67iendymarm/taklamakan-scanner,N/A,-,-,-,-,-,-,-,Repositório vazio na data da pesquisa
2,advanced-security/codeql_container_example,https://github.com/advanced-security/codeql_container_example,Typescript,0,5,0,MIT License,2023,2023,N/A,"É uma demonstração de uma implementação de como usar CodeQL para escanear aplicações coneinerizadas por vulnerabilidades, usando 4 exemplos: javascript, Java, C# e Docker"
3,advancedcsg-open/action-ccq,https://github.com/advancedcsg-open/action-ccq,Dockerfile,0,5,0,N/A,2019,2019,N/A,É uma ferramenta que usa Github Action para escanear código com o SonarQube
4,agrawalsmart7/scodescanner,https://github.com/agrawalsmart7/scodescanner,Python,20,7,155,GPL-3.0 License,2021,2023,N/A,É uma ferramenta CLI para escanear código fonte por vulnerabilidades críticas
5,akbarq/codescan,https://github.com/akbarq/codescan,Python,0,1,0,N/A,2023,2023,N/A,"É uma ferramenta qie detecta funções vulneráveis em arquivos PHP, Java, Python, .Net e Javascript "
6,andrenasx/J-TAS,https://github.com/andrenasx/J-TAS,Python,0,1,1,N/A,2023,2023,CWE,"É uma Github Actions que automatiza o escaneamento de código Java, identificando as vulnerabilidades de CWE presentes"
7,Anof-cyber/MobSecco,https://github.com/brunocantisano/rpi-sonarqube,Python,6,4,51,MIT License,2023,2023,N/A,"É uma ferramenta usada para clonar projetos de dispositivos móveis baseados em Cordova, gerando um APK para debug."
8,arush-sal/securebuild,https://github.com/arush-sal/securebuild,N/A,-,-,-,-,-,-,-,Repositório vazio na data da verificação
9,atulds1994/WebInspect-Scan-Merge-Code-in-Python,https://github.com/atulds1994/WebInspect-Scan-Merge-Code-in-Python,Python,0,1,0,N/A,2020,2020,N/A,É um código para mesclar 2 ou mais ecanementos complemtos usando uma ferramenta de inspeção WEb.
10,Auxin-io/AlphaScale-CLI,https://github.com/Auxin-io/AlphaScale-CLI,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
